,Unnamed: 0,time,iiwa_joint_1,iiwa_joint_2,iiwa_joint_3,iiwa_joint_4,iiwa_joint_5,iiwa_joint_6,iiwa_joint_7,link_pos_1,link_pos_2,link_pos_3,link_pos_4,link_pos_5,link_pos_6,link_pos_7
86,86,1639136560579600170,-1.703842125309206,1.9535214092446425,1.5048177336041615,1.2347068876064289,1.9471501321267968,0.8249407724269711,-2.6893921810384365,"[0.22554192949918483, -0.057317013257968175, 0.11794231663085683]","[0.09855012672215137, 0.0020868203593880693, 0.2609397347982358]","[-0.2704960274312801, 0.09841751112611402, 0.1688570398386125]","[-0.2961608082531955, 0.17275081881249954, 0.20746561691632906]","[-0.5250421920589436, -0.0022496592983733132, 0.3273713996932127]","[-0.49000769796188154, -0.27953345290368836, 0.12626457647459666]","[-0.6075515226084398, -0.35410296333196883, 0.16308050472762345]"
87,87,1639136560679522586,0.3895489712870677,-1.2434133606635882,-0.4578318664133243,0.7246952430824307,-1.250043819044714,1.6731665942694145,0.5723147172512175,"[0.0868613771831005, -0.061831363576556164, 0.08058931823962592]","[-0.02394844815100423, -0.11011389467873765, 0.08972128066868174]","[-0.07309593340265638, -0.10390372436237602, 0.4020188481077075]","[-0.07244796036073621, -0.39781353268861785, 0.11029441863073108]","[-0.1468927558157016, -0.3462782425274413, 0.3002267750668169]","[-0.35781934735745496, -0.6264194032869745, 0.03599481264086424]","[-0.4272118516487079, -0.4648976647968926, 0.019786210482915234]"
88,88,1639136560779552555,1.8304114112999768,0.6665340907785327,-2.323631067945123,0.4833140924204944,0.6356457032731431,-0.4111796913878541,-1.1427452527371478,"[0.07687428580761549, -0.05651008601459906, -0.08015547027804942]","[0.01703285326419034, 0.033224327055528705, 0.37810083539369854]","[-0.15404221715413985, 0.07626670277408844, 0.2088523035374793]","[-0.31779375907865104, -0.20268120077660298, 0.396968617815494]","[-0.3661244015804387, -0.1284393215858645, 0.30974524147147087]","[-0.7838959294299337, -0.07793601304969036, 0.31270680800726164]","[-0.6912887611028325, -0.3298808304331827, 0.1789802282148813]"
89,89,1639136560879533582,1.0823477679676619,-0.7701611203614753,-2.836708905902375,-0.16114847647416594,0.7214073509596717,1.1561141648082052,-1.1659678068457533,"[0.06272784620989952, 0.10728141397286706, 0.3084624774939107]","[0.061760496528049685, -0.034163840690616495, 0.18882342649120812]","[-0.055988466332347414, 0.1882269636138783, 0.5210815794884956]","[-0.1421384517645477, 0.18858178780064197, 0.6794493791775155]","[-0.07175421075634364, 0.41322433988898355, 0.7828553485271652]","[-0.44146784409453244, 0.6185718452196596, 0.9888768843439372]","[-0.2399650862540631, 0.45409325211668805, 0.9248302899265026]"
90,90,1639136560979704469,-2.7558733067099155,0.8020981030644823,-1.3871795952914174,2.0209702286078355,1.9222575615381632,1.6081194945415782,-1.6596808718740157,"[-0.02923708254548616, -0.031237340906132463, 0.28562160574332063]","[0.012917572210375653, 0.04446457623245423, 0.40664839639771094]","[-0.2098723098756286, -0.08768946626597077, 0.572085740672841]","[0.04182626495248673, -0.001611420039913547, 0.7721172362055535]","[-0.32066851270579194, -0.295052537578142, 0.8153097900348344]","[-0.30496224053325455, -0.4447390802455734, 0.8588641074920179]","[-0.10647532077603455, -0.491853629913679, 0.9368404038016911]"
91,91,1639136561079505426,-0.5828900474686844,1.7649948206140165,2.624986854467397,0.37167315833852177,2.0666693557511584,-1.0586423252228,0.16455860441471204,"[-0.16094795507790832, -0.07686997429623188, 0.16863468389408354]","[-0.094662632144746, -0.1693300483099764, 0.3066332400744125]","[-0.2206316994249396, 0.09660790049780812, 0.4710806496135551]","[-0.2740934572470198, -0.031155944128522878, 0.5793009308853645]","[-0.30438422869539056, -0.3031141185101213, 0.5892881639441481]","[-0.041292996369888195, -0.27736592366798585, 0.5076598217928419]","[0.05562359303643924, -0.36693710915740557, 0.6066949891244554]"
92,92,1639136561179563861,-2.17515910015956,0.7836653079355158,0.0958147075192608,1.9648546693929787,2.0809314989181362,0.7343057107737412,-2.165377725972121,"[0.009617636194718499, 0.11236232302273415, 0.06372798982630344]","[-0.016847562263428827, 0.005104305019799422, 0.2564298769618114]","[0.20281835086051309, -0.14548854550456572, 0.36940602135451733]","[0.32567024486498075, -0.39314018532316797, 0.421184650044763]","[0.4827159442788426, -0.2777798602486263, 0.0835533611632529]","[0.7251424815931826, -0.49693745838571324, 0.24194185904883872]","[0.8417377448301784, -0.45832736581198896, -0.11537880620363669]"
93,93,1639136561279592903,2.0119084158982266,1.4760200756543034,1.420472984523832,0.7905112095206892,2.3333257887404093,-1.4321527874316184,2.6606975449073818,"[0.017613323697669034, -0.06672052264498284, 0.20791314948048914]","[0.012941265375124897, 0.10832753708957182, 0.2977083605856265]","[0.02774121366896977, -0.13910667684216904, 0.7131256452609948]","[-0.1053916759508928, -0.207054295829971, 0.584453098926746]","[-0.004724574716040292, -0.05942012811620383, 0.9113589088912921]","[-0.008245325167648872, 0.15408209278937673, 0.9840809722611736]","[0.06337929937364983, 0.23848193467035744, 0.6843011241035719]"
94,94,1639136561379483186,0.6157216549372935,0.7897359155470034,1.4219690695328144,-0.8208207896048567,-2.355737197893927,-1.7955023037208542,-2.869740537754837,"[0.09055362643994042, -0.03869091764949918, 0.09171574747388764]","[-0.05188104049743594, 0.1128218156877286, 0.2937977824682171]","[-0.1193948913458764, 0.05722870440046196, 0.3188332773687924]","[-0.16707890045507412, 0.39129674789497493, 0.5105023872398644]","[-0.05084334602560498, 0.5734608639050349, 0.520247703422595]","[0.009325643983005047, 0.7910516456740607, 0.283064711416262]","[-0.15200912643194944, 0.9448048079656017, 0.37907549982371047]"
95,95,1639136561479668321,2.431612006889092,1.9265176108684567,2.872246362636925,-1.0119028214616823,-1.4001513013164453,-0.022700846115429663,0.8906582648060497,"[-0.09987556705691983, 0.11631162226440664, 0.05984957763964076]","[0.0036631655355609744, 0.1147215698140711, 0.3535557454278469]","[0.11341227865205887, 0.03599059488435906, 0.4386890752608843]","[0.2203634437423356, 0.03528556497209415, 0.6653537191087638]","[0.12996618162786824, 0.3510957194612433, 0.7433412220488017]","[0.35769925668720576, 0.4962659408228588, 1.0627358949823447]","[0.17211164967254708, 0.5512558564365894, 0.9516557479883376]"
