link_pos_1,link_pos_2,link_pos_3,link_pos_4,link_pos_5,link_pos_6,link_pos_7
"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.33999999999999997]","[0.05176438708936924, -4.0371795038432085e-05, 0.5435201380683988]","[0.09859883255121832, -7.689865628577047e-05, 0.7276574058445594]","[-0.036409054963499866, 0.025889568186124857, 0.8863981155208589]","[-0.11301152109762463, 0.04353247798964333, 1.0697155449045241]","[-0.17390455914371789, -0.029929563706711397, 1.0359389798435223]"
"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.34]","[0.19552671268626723, 0.06267482766747326, 0.2959412823273936]","[0.3724318336884198, 0.1193806241276371, 0.25607863300459766]","[0.2878711452325633, 0.29078941748951276, 0.3430758486272679]","[0.2577956192209027, 0.4791756294022762, 0.40130460351934216]","[0.18852826000193362, 0.5071286781913719, 0.46961382698312293]"
"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.33999999999999997]","[0.06021811025122273, 0.20083504858060658, 0.35179247469350505]","[0.11470116238417191, 0.3825429496770766, 0.3624618565590966]","[0.30129125598235845, 0.41613241972638626, 0.45277179218539665]","[0.4875492888501963, 0.39039088137329625, 0.5193285979637683]","[0.5011207444297808, 0.47485237101678607, 0.465221644984932]"
"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.34]","[0.08262628040397306, 0.02426995572538731, 0.5315303292841418]","[0.15738339124543518, 0.0462284870968786, 0.7048196748269207]","[0.3017654800589095, 0.06109248620554895, 0.5530538224082837]","[0.4763285820494864, 0.06557747254795498, 0.4566582918016425]","[0.42309621843151374, 0.1504740575654819, 0.4423623022938894]"
"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.33999999999999997]","[0.033941863799623134, -0.008977903651587175, 0.5470443119910098]","[0.064651169141864, -0.017100768861055514, 0.7343701180781207]","[0.15744801145920362, 0.16241072471848236, 0.6772354549674109]","[0.28254633240373495, 0.3175761928187885, 0.6695818541108266]","[0.29795053916018077, 0.3081827626064438, 0.5699828386385313]"
"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.33999999999999997]","[0.04145098958228198, -0.15038723089763584, 0.4805898155827466]","[0.07895426587191721, -0.28645186837622744, 0.6077901249194883]","[0.11171961648231879, -0.440028053671769, 0.74722034800418]","[0.08157935245263015, -0.5828859516779483, 0.883116173773321]","[0.14887174720085616, -0.531414423250925, 0.9385048492443512]"
"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.33999999999999997]","[0.04445747930733985, -0.01119297589469002, 0.5449347452831225]","[0.08468091296609723, -0.02131995408601675, 0.730351895777385]","[0.18101920195902835, -0.20172283706122543, 0.7780355815425148]","[0.2167237001261384, -0.39527665672298534, 0.8103867438860488]","[0.31038672540524676, -0.4335748609271516, 0.8128311763971019]"
"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.33999999999999997]","[0.039271919589357426, -0.04994214755653905, 0.5401586826225829]","[0.07480365635992638, -0.09512790010823907, 0.7212546335668367]","[0.1049968090876116, -0.30128321712243594, 0.7474912262407838]","[0.12135359265297826, -0.4969190029557985, 0.712226726630575]","[0.20691805176379255, -0.5179826160621933, 0.7620317217613637]"
"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.33999999999999997]","[-0.10475395369923367, 0.03999435803773535, 0.5175586114766846]","[-0.19953134037912987, 0.07617972959654366, 0.6782068790032296]","[-0.22949517813840073, 0.0767512534582165, 0.8860574065156986]","[-0.20785599808521715, 0.041810976405349816, 1.0812378689756863]","[-0.20972527166115165, 0.1430112213321074, 1.0805263613772793]"
"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.34]","[-0.17775970052574347, 0.10736963008079299, 0.30880302249717667]","[-0.33858990576379694, 0.20451358110547296, 0.28057718570886914]","[-0.5114880778813975, 0.3211687595057195, 0.2561274120739423]","[-0.6345024960333875, 0.47718660994530027, 0.23850999821889607]","[-0.7109526089933751, 0.449427059096706, 0.29876178296498845]"
"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.33999999999999997]","[-0.15535051213366668, -0.13095924844162182, 0.28693500563070734]","[-0.29590573739685305, -0.24944618750855602, 0.23892382024892836]","[-0.1325609570329319, -0.23375849349780659, 0.10788039620755394]","[0.007923785246197593, -0.1593355899541732, -0.012576063207878019]","[0.024578058772921803, -0.22095988256579105, -0.0911290499965084]"
"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.33999999999999997]","[-0.07465736061651611, 0.10248369689304768, 0.5074018230991211]","[-0.14220449641318209, 0.19520704170052072, 0.6588606154268737]","[-0.2166593888953191, 0.2983802738837076, 0.8259287247306772]","[-0.3154305049309543, 0.3424524153992456, 0.9935187094532418]","[-0.22600564953743463, 0.3724708208409526, 1.0302281165934473]"
"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.33999999999999997]","[-0.1196181240458462, -0.06410461862981412, 0.5002563642108437]","[-0.22784404580119874, -0.12210403548619439, 0.6452502175444389]","[-0.3706113919242271, -0.2674931884158977, 0.5944616450957986]","[-0.5381573368320579, -0.37559507185905283, 0.5892819596821331]","[-0.5013303991114461, -0.4698659263111034, 0.5877744256021005]"
"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.33999999999999997]","[0.003185260529689068, -0.00247851349952319, 0.5499612132899567]","[0.006067162913091143, -0.004720978095039963, 0.7399261205522992]","[0.15297460814266048, 0.09851561911698237, 0.8488316187248147]","[0.24273933215853127, 0.21652041544562195, 0.9822544517249833]","[0.2696895207926413, 0.11901781601626692, 0.9787301876734922]"
"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.33999999999999997]","[-0.04104625175615127, 0.18088999012306112, 0.24154180232174932]","[-0.07818333667928662, 0.34455236213894014, 0.15246057585091638]","[0.08318780303143403, 0.4012618964764324, 0.030627148649315164]","[0.22620716089761383, 0.39921410972864596, -0.10838997204083992]","[0.3041742188207926, 0.43488388110619436, -0.054591316958420594]"
"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.33999999999999997]","[0.010202162483225578, 0.08741154967526507, 0.5306702306707435]","[0.019432690443319217, 0.16649818985779108, 0.7031813917537807]","[0.173109842089328, 0.3069895718100373, 0.730485322956406]","[0.303872451165458, 0.45417273341376496, 0.6985049069501351]","[0.39124468237117344, 0.4506132608112266, 0.7494844456782052]"
"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.33999999999999997]","[0.0669426094742694, -0.114818374701329, 0.5025897532679126]","[0.1275097323311227, -0.21870166609821184, 0.6496947681293821]","[-0.020369043624291733, -0.24999177626832136, 0.7954781575380208]","[-0.16055534167541158, -0.33566382704103953, 0.9085824967789154]","[-0.14880744315218733, -0.30400574478120873, 1.0040038922199688]"
"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.3400000000000001]","[0.16384703388901817, -0.09839412889140499, 0.42702151966882984]","[0.31208958836052764, -0.18741738836379174, 0.5057552755596402]","[0.43542567943318167, -0.08910704747183147, 0.6444033390608106]","[0.5557951618790141, -0.05256318571021741, 0.799194242744685]","[0.49530752998230787, 0.02348551191747944, 0.8275373543709632]"
"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.33999999999999997]","[0.05353795491327307, -0.19660074105325537, 0.2891882297000472]","[0.10197705697855813, -0.37447760200594704, 0.24321567561909943]","[0.22994858786058237, -0.3445032113143453, 0.40699852938095793]","[0.3100551154431158, -0.35252116335174344, 0.5894900269467206]","[0.289226050017463, -0.2593526272322785, 0.5558557600326075]"
"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.33999999999999997]","[0.11282575054983983, 0.16661880949688712, 0.27992902252580415]","[0.21490619152428114, 0.3173691609459394, 0.2255790905253789]","[0.35342303677503584, 0.39313360495638583, 0.08711309251299174]","[0.43721718385209524, 0.5012197275378031, -0.05807788868399247]","[0.49398605953053853, 0.5096515913669496, 0.025298897213355404]"
"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.33999999999999997]","[0.139612828668439, 0.15664303761086912, 0.34843900700538566]","[0.26592919746299987, 0.29836769068798996, 0.35607429905783816]","[0.2818498428667082, 0.5073086814649107, 0.3422831633871227]","[0.3459340467460904, 0.6902979596126757, 0.2954576479483611]","[0.25175351711116345, 0.7087102042818314, 0.26326281786762007]"
"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.33999999999999997]","[-0.1752663793515869, 0.06396889281564455, 0.24361702940391278]","[-0.3338407225741492, 0.12184551012591736, 0.15641338934082122]","[-0.21670683590267922, 0.29128214401658437, 0.19728978459572724]","[-0.06823093499172381, 0.40917317827330746, 0.25926640027099884]","[-0.08335004565229936, 0.5076590298704022, 0.2770832329869526]"
"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.34]","[0.10704917333927445, -0.05648025198383555, 0.5116113505081189]","[0.2039031873124412, -0.10758143235097084, 0.6668787628726299]","[0.25824037523537224, -0.28768323355312414, 0.7602104895917265]","[0.3648661996582655, -0.4314160815411518, 0.8482803026685631]","[0.3010071822655974, -0.44673008207719334, 0.9253062546927024]"
"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.33999999999999997]","[-0.02007423487738221, -0.017229525189202052, 0.5483270711065712]","[-0.038236637862256784, -0.03281814321679633, 0.7368134687744262]","[-0.07608923226930876, -0.05020573982577749, 0.9426407084217057]","[-0.08234975601849019, -0.012941194943266714, 1.1384892456566953]","[-0.05415139957527733, -0.1036874028190644, 1.1733528147520136]"
"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.33999999999999997]","[-0.0012767858392110564, 0.007973335085566717, 0.5498446943468767]","[-0.002431973026143875, 0.015187304924997286, 0.7397041797083378]","[-0.1054670074820322, 0.05452698033307425, 0.9184111230918032]","[-0.14924087200630473, 0.07506647874793287, 1.11192202146571]","[-0.24361417263939047, 0.04172837348728528, 1.1270131070875997]"
"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.33999999999999997]","[-0.19861015742130955, -0.0681857131285297, 0.34217115044077806]","[-0.378305061755177, -0.12987754881536695, 0.34413552464914043]","[-0.3368837477773719, -0.06465371024149581, 0.5394048914992474]","[-0.264350502040636, -0.054398204639456285, 0.724926434366217]","[-0.35585384502118955, -0.03739882448085966, 0.7647215257419968]"
"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.33999999999999997]","[0.15530829098016752, 0.1356331920491956, 0.3797865802421575]","[0.2958253161520937, 0.2583489372372687, 0.4157839623659757]","[0.47862577489108526, 0.17766656318982577, 0.48039314749381]","[0.6718456377630334, 0.15689038290982554, 0.5253255959550108]","[0.6286754613079463, 0.13216920877379607, 0.6134771099191667]"
"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.3400000000000001]","[-0.11801791735685943, 0.1577311274935487, 0.41275068798549874]","[-0.22479603306143764, 0.3004402428443082, 0.47857273901996067]","[-0.3553638174876236, 0.42142451967167116, 0.589994722625518]","[-0.43098638508320897, 0.5741199328221547, 0.6936761002834866]","[-0.4328993489007485, 0.48732205866586453, 0.7457141595418948]"
"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.33999999999999997]","[-0.082213537089873, -0.11237566201317087, 0.49720256011361164]","[-0.15659721350378658, -0.21404888002566047, 0.6394334478354247]","[-0.22888417994799276, -0.25983131514798663, 0.8312108268887536]","[-0.3381497980055713, -0.2598242370810667, 0.9980805804703905]","[-0.2436020561840384, -0.24348717431316336, 1.0303189876358558]"
"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.3400000000000001]","[0.15281461416849026, 0.11043283694820769, 0.43247855005408575]","[0.29107545555956005, 0.21034826085296476, 0.5161496191506747]","[0.34270646896813484, 0.365411322330257, 0.6480195756217872]","[0.3356715236250731, 0.5000955080829587, 0.7949725260928544]","[0.40151928298389206, 0.576287998706666, 0.8051836455211707]"
"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.33999999999999997]","[-0.06464348982252369, -0.00355170415708216, 0.5397713808861164]","[-0.12313045680482074, -0.006765150774463643, 0.7205169159735673]","[-0.29968713197499536, 0.10003658383681942, 0.7595185817953564]","[-0.46116952642737713, 0.17333559999463197, 0.850815791567737]","[-0.41015746004926784, 0.25545674487082004, 0.820826182566293]"
"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.34]","[0.06943726791532462, 0.06870774976743638, 0.5258970439419378]","[0.1322614626964861, 0.13087190431824064, 0.6940896075084714]","[0.09834177311348874, 0.1361103545800947, 0.9012658930660786]","[0.10725404363738136, 0.1865425582769723, 1.094039475966811]","[0.006343370045651095, 0.1928012212701918, 1.0988721866761975]"
"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.34]","[0.08620044951734673, 0.17077627021022646, 0.2533688968320785]","[0.16419133241315598, 0.3252881337341695, 0.17498837491820896]","[0.11015556101752044, 0.5140624179536686, 0.1005276132574903]","[0.013663960243710416, 0.6600531906419114, 0.004816823531371001]","[0.09080139861806275, 0.7095901288411295, -0.03809468255836976]"
